Name with Owner,Created Timestamp,Updated Timestamp,Stars Count,Language,Rating
myGrid/euca-aws-bridge-gem,2010-09-08 11:07:31 UTC,2012-12-15 03:52:00 UTC,1,,0.0
railslove/backpack-journal,2010-11-22 10:00:53 UTC,2012-12-16 00:22:15 UTC,1,Ruby,0.05
FPU/rforce-wrapper,2011-02-22 07:19:11 UTC,2012-12-24 20:24:17 UTC,1,Ruby,0.06
vavavr00m/simile-widgets,2015-04-06 10:58:03 UTC,2017-09-02 14:00:58 UTC,0,JavaScript,0.07
sergi/activejs,2009-10-27 20:56:56 UTC,2012-12-13 02:33:28 UTC,2,JavaScript,0.09
caseproof/ror_ecommerce,2011-01-23 01:27:42 UTC,2012-12-17 19:55:22 UTC,1,JavaScript,0.09
kaendfinger/google-code-prettify,2015-03-16 15:07:06 UTC,2015-03-16 15:09:06 UTC,0,JavaScript,0.11
vavavr00m/galleriffic,2015-04-05 19:46:46 UTC,2017-09-02 14:00:57 UTC,0,HTML,0.11
ninja-loss/g_named_scope_filters,2010-12-02 00:53:03 UTC,2012-12-16 01:20:38 UTC,1,Ruby,0.12
DJALILBrahim/openintents,2015-04-27 16:51:51 UTC,2015-04-27 16:51:51 UTC,0,,0.13
elkorn/ireader-extension,2015-03-27 16:42:31 UTC,2018-01-27 07:02:44 UTC,0,HTML,0.13
saintbyte/superputty,2015-03-26 16:43:50 UTC,2017-09-03 10:01:02 UTC,0,C#,0.14
owais/django-project-skeleton,2011-01-10 18:24:51 UTC,2012-12-17 17:09:24 UTC,1,Python,0.15
capita/exception_notification,2010-11-19 08:28:36 UTC,2012-12-16 00:07:23 UTC,1,Ruby,0.15
caelum/restful-explorer,2010-05-11 13:55:33 UTC,2012-12-14 16:40:30 UTC,1,Ruby,0.16
lagged/Lagged_Cache,2010-11-12 09:36:16 UTC,2012-12-15 23:29:23 UTC,1,,0.16
yii2-developer/phpquery,2015-05-25 18:00:07 UTC,2018-02-22 05:48:37 UTC,1,PHP,0.17
welterde/go-pkg-optarg,2010-10-17 21:14:48 UTC,2012-12-15 08:29:52 UTC,1,Go,0.17
pastukhov/sams2,2015-03-14 05:45:31 UTC,2017-10-29 05:05:59 UTC,0,PHP,0.19
aguai/soundflower,2015-03-19 10:18:30 UTC,2018-01-27 07:00:57 UTC,0,Objective-C,0.19
pronique/hostcli,2009-01-23 19:43:15 UTC,2012-12-12 19:41:04 UTC,1,,0.2
amberbit/git-hooks,2009-08-05 10:02:49 UTC,2012-12-13 00:03:23 UTC,1,,0.2
railslove/json-schema-browser,2011-08-26 09:42:03 UTC,2013-01-04 03:14:33 UTC,1,JavaScript,0.21
screscent/goconfig-1,2012-12-10 01:54:46 UTC,2013-01-13 14:09:39 UTC,0,Go,0.21
traveliq/httpi,2010-09-13 12:47:37 UTC,2012-12-15 04:14:35 UTC,1,Ruby,0.22
TechnoGate/parseconfig,2011-01-20 14:49:11 UTC,2012-12-17 19:19:27 UTC,1,Ruby,0.22
sprucemedia/kache,2012-02-16 14:33:52 UTC,2013-01-07 21:35:30 UTC,1,JavaScript,0.23
nemein/openpsa,2010-11-04 14:25:19 UTC,2012-12-15 22:43:52 UTC,1,PHP,0.23
splendeo/splendeo.github.com,2010-05-28 07:51:36 UTC,2012-12-14 17:41:11 UTC,1,JavaScript,0.24
vavavr00m/boto,2015-04-05 15:30:48 UTC,2018-02-16 11:01:01 UTC,0,Python,0.24
werdewelt/google-maps-utility-library-v3,2015-03-25 13:26:18 UTC,2015-03-25 13:47:06 UTC,0,JavaScript,0.25
disruptive/Mountain.rb,2010-10-07 15:51:11 UTC,2012-12-15 07:21:55 UTC,1,,0.25
Viximo/hoptoad-api,2011-01-31 15:30:53 UTC,2012-12-17 22:19:27 UTC,1,Ruby,0.26
square/errbit,2010-10-22 18:01:23 UTC,2012-12-15 21:43:28 UTC,2,Ruby,0.26
browsermedia/test-lh-import,2011-05-06 18:41:01 UTC,2013-01-02 01:53:17 UTC,1,,0.28
YEDev/Marketo,2012-06-16 01:08:38 UTC,2013-01-09 17:36:20 UTC,1,Ruby,0.28
gonuts/godot,2012-09-21 12:26:04 UTC,2013-01-12 08:25:53 UTC,0,Go,0.29
lordmortis/openvg,2012-10-02 05:12:45 UTC,2013-01-12 12:19:13 UTC,0,Go,0.29
felixanya/go,2013-01-12 15:22:35 UTC,2013-01-14 02:16:48 UTC,0,Go,0.3
sethkontny/iphone-dataprotection,2015-03-30 06:21:05 UTC,2017-04-03 05:43:48 UTC,0,C,0.3
jayschwa/groke,2013-01-13 19:11:18 UTC,2013-01-14 06:41:10 UTC,0,Go,0.31
smartlogic/aws-s3,2010-10-19 17:21:46 UTC,2012-12-15 08:51:19 UTC,1,Ruby,0.31
Casecommons/net-ssh-gateway,2011-03-03 16:13:51 UTC,2012-12-25 07:33:08 UTC,1,Ruby,0.32
openteam/ruby-spreadsheet,2010-12-20 12:11:58 UTC,2012-12-16 03:24:41 UTC,2,Ruby,0.32
