Java,Pages enabled,Issues enabled,Scala,PHP,Python,Default branch,Size,Contributors Count,Forks Count,Open Issues Count,Watchers Count,Emacs Lisp,BSD-2-Clause,JavaScript,Wiki enabled,MIT,Pull requests enabled,Fork,HTML,Other,CSS,Go,Shell,Objective-C,SourceRank,Description,Name with Owner,Created Timestamp,Updated Timestamp,Last pushed Timestamp,Homepage URL,Language,Keywords,Stars Count
0,1,0,0,1,0,0,132,1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,A simple PHP wrapper around the Trustico Reseller SSL Certificate API,phil-lavin/Trustico-PHP,2013-09-17 15:49:44 UTC,2016-12-28 19:59:49 UTC,2013-09-26 07:54:27 UTC,,PHP,,0
0,1,0,0,1,0,0,572,3,2,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,A Symfony 2 bundle to bind XML to PHP objects or PHP objects to XML using annotations,Level42/NotJaxbBundle,2013-03-19 21:49:27 UTC,2014-06-16 11:56:54 UTC,2014-12-04 08:25:48 UTC,,PHP,,3
0,0,0,0,0,0,0,880,1,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,3,webchat,hirokiht/WebRTC,2013-12-12 12:30:55 UTC,2017-02-26 17:04:06 UTC,2014-05-23 07:02:50 UTC,http://hirokiht.github.io/WebRTC,JavaScript,,0
0,1,0,0,0,0,0,324,1,4,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,2,,manojkumarmc/swagger-restify-express,2014-05-06 02:50:48 UTC,2017-02-08 07:04:58 UTC,2014-06-02 09:43:10 UTC,,JavaScript,,0
0,1,1,0,0,0,0,3169,6,9,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,5,,gwdg/rOCCI-cli,2013-05-30 11:44:24 UTC,2017-02-08 09:32:22 UTC,2017-08-15 08:23:00 UTC,,Ruby,,3
0,1,0,0,1,0,0,12,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,a framework to easier build tests for composer installer and plugins,Cotya/composer-test-framework,2014-08-02 23:56:20 UTC,2017-02-23 12:13:49 UTC,2017-02-23 12:13:47 UTC,,PHP,,1
0,1,0,0,0,0,0,128,1,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,2,An experimental UI component for carbon-ui which requires auth.,ncthis/carbon-andals,2014-05-28 07:43:56 UTC,2016-12-28 17:43:22 UTC,2014-05-28 10:47:46 UTC,,JavaScript,,0
0,1,0,0,0,0,0,512,1,19,8,12,0,1,1,0,0,-1,0,0,0,0,0,0,0,5,Web-based gdb front-end application,sirnewton01/godbg,2013-08-09 01:02:00 UTC,2017-02-26 05:04:19 UTC,2016-01-30 01:03:39 UTC,,JavaScript,,207
0,0,0,0,0,0,0,575,1,7,0,2,0,0,0,1,1,-1,0,0,0,0,0,0,0,4,:mortar_board: Learning Tools Interoperability Node library.,rockymadden/lti.js,2013-11-08 18:37:22 UTC,2017-01-20 13:05:50 UTC,2015-05-14 16:03:38 UTC,https://rockymadden.com/lti.js/,CoffeeScript,,15
0,1,1,0,0,0,0,270,7,2,1,2,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,Grunt task to run jasmine unit tests through phantomjs,mebusw/grunt-jasmine-coverage,2013-02-11 06:56:48 UTC,2016-05-27 18:06:06 UTC,2013-02-19 06:52:51 UTC,,JavaScript,,5
0,1,0,0,0,0,0,116,2,2,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,2,elisp package to talk to node-resolver process(install node modules in background),meandavejustice/node-resolver.el,2014-09-29 09:33:59 UTC,2016-12-28 17:06:44 UTC,2014-09-30 17:23:46 UTC,,Emacs Lisp,,1
0,1,0,0,0,0,0,379,3,9,3,4,0,0,0,0,1,-1,0,0,0,0,0,0,0,5,The Ruby API working with Xcode project files,manifest/xcodeproject,2012-06-13 15:12:30 UTC,2017-04-17 17:18:06 UTC,2016-11-03 07:01:33 UTC,,Ruby,,53
0,1,0,0,0,0,0,152,2,2,0,2,0,0,1,0,1,-1,0,0,0,0,0,0,0,4,An angular.js wrapper around the Google Directions API,dbaq/angularjs-google-directions,2014-08-12 05:44:58 UTC,2016-12-28 17:25:17 UTC,2015-08-25 20:54:49 UTC,,JavaScript,,11
0,1,0,0,0,0,0,224,1,2,1,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,6,"An adapter for karma, so you can run your js-test-driver tests.",tylerc/karma-jstd-adapter,2013-06-06 16:30:30 UTC,2017-01-21 20:03:29 UTC,2016-09-26 12:54:30 UTC,,JavaScript,,4
0,1,0,0,0,0,0,124,1,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,2,A Event Driven Wrapper for golang's Conn,reyoung/event_conn,2013-06-23 10:39:10 UTC,2017-03-04 15:03:53 UTC,2013-06-25 08:01:45 UTC,,Go,,1
0,1,0,0,0,0,0,260,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,A minimalist mpv GUI written in I/O heavy Haskell,sebadoom/mpvguihs,2013-11-10 02:15:18 UTC,2018-02-04 11:45:00 UTC,2013-12-02 02:57:37 UTC,,Haskell,,5
0,0,0,0,0,0,4,824,11,3,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,6,CSS framework like Bootstrap but more modern and delivered through SCSS mixins,alphasights/paint,2014-08-29 09:44:58 UTC,2017-08-17 16:06:59 UTC,2017-08-17 15:36:31 UTC,,CSS,,39
0,1,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,gem enabling grouping of aggregate calculations,thegboat/active_record_calculator,2012-01-27 19:47:30 UTC,2017-04-28 14:03:04 UTC,2012-02-08 04:32:01 UTC,,Ruby,,1
0,1,0,0,0,0,0,127,2,1,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,3,A RubyGems plugin that explicitly aliases `gem i` to `gem install` to avoid ambiguity,amatsuda/gem_i,2015-02-13 07:14:36 UTC,2017-04-17 17:28:15 UTC,2015-02-13 09:47:31 UTC,,Ruby,,15
0,1,0,0,0,0,0,2728,36,65,15,36,0,0,1,0,0,0,0,0,0,0,0,0,0,12,BitGo JavaScript SDK,BitGo/BitGoJS,2014-05-24 04:30:11 UTC,2018-02-26 00:16:11 UTC,2018-02-28 21:37:21 UTC,https://platform.bitgo.com,JavaScript,,103
0,1,0,0,0,0,0,9,1,1,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,5,Hubot script for receiving notifications from AWS Simple Notification Service,mdouglass/hubot-sns,2014-11-18 02:19:09 UTC,2016-10-10 15:15:15 UTC,2016-07-28 20:57:56 UTC,,CoffeeScript,,7
0,0,0,0,0,0,0,528,4,16,4,44,0,0,0,1,0,0,0,0,1,1,0,0,0,10,A build tool for checking your HTML templates for unused CSS classes,zalando/gulp-check-unused-css,2014-08-19 08:39:34 UTC,2017-10-24 19:04:19 UTC,2017-10-24 19:04:02 UTC,,CSS,,353
0,1,0,0,0,0,0,124,1,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,Parses HTML templates for use as middleware,steveukx/templatr,2011-11-12 08:19:04 UTC,2017-01-31 13:06:52 UTC,2012-01-28 17:20:59 UTC,,JavaScript,,1
0,1,1,0,1,0,0,401,59,8,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,14,[READ-ONLY] Subtree split of the Symfony Templating Component,symfony/templating,2011-02-22 18:07:06 UTC,2018-03-05 22:33:10 UTC,2017-11-21 18:18:42 UTC,https://github.com/symfony/symfony,PHP,,77
0,1,0,0,0,0,0,167,1,1,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,2,NodeJS module to talk to Amazon Elastic Beanstalk.,chilts/awssum-amazon-elasticbeanstalk,2013-03-02 07:28:24 UTC,2017-05-12 09:02:43 UTC,2014-06-11 10:24:55 UTC,,JavaScript,,1
0,1,0,0,0,0,0,192,1,0,0,2,0,0,1,0,1,-1,0,0,0,0,0,0,0,3,Switches sets of environment variables depending on the browser address.,zamtools/ng-environments,2014-02-21 00:37:32 UTC,2015-12-12 15:41:52 UTC,2014-05-04 08:15:28 UTC,,JavaScript,,5
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,Subtree of Opulence's users library,opulencephp/users,2015-09-17 20:46:45 UTC,2017-08-03 11:13:45 UTC,2015-09-17 21:26:31 UTC,http://www.opulencephp.com,PHP,,0
1,1,0,0,0,0,0,531,5,351,21,93,0,0,0,0,0,0,0,0,0,0,0,0,0,10,JPinyin是一个汉字转拼音的Java开源类库,stuxuhai/jpinyin,2013-05-15 11:24:38 UTC,2018-03-05 08:54:19 UTC,2017-08-16 03:09:17 UTC,,Java,,1249
0,1,0,0,1,0,0,398,1,0,0,2,0,0,0,0,1,-1,0,0,0,0,0,0,0,3,"subset of laravel components, an easy way to get up and running eloquent, validations, translations and blade in your application",zofe/deficient,2014-10-19 21:32:03 UTC,2016-12-28 20:31:43 UTC,2014-10-31 23:13:19 UTC,,PHP,,6
0,1,0,0,1,0,0,228,0,2,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,Seamless templating with the HTML spirit. PHP 5.2+. Via Composer and Laravel 3 bundle.,ProgerXP/HTMLki,2013-02-26 09:38:52 UTC,2016-12-28 20:02:24 UTC,2014-03-16 21:27:57 UTC,http://proger.i-forge.net/HTMLki,PHP,,3
0,1,0,0,0,0,0,20,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Node routing and controllers,reedlauber/shack,2013-12-30 21:33:16 UTC,2017-10-27 23:00:08 UTC,2017-09-25 01:57:27 UTC,,JavaScript,,0
0,1,0,0,0,0,0,152,1,0,1,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,Command lien tool i node to take full-length screenshots of websites,camme/screenshooter,2014-03-14 06:47:33 UTC,2017-01-31 14:04:23 UTC,2015-11-01 14:39:50 UTC,,JavaScript,,2
0,0,0,0,0,0,0,15187,6,36,4,31,0,0,0,0,1,-1,0,0,0,0,0,0,0,7,AngularJS directives for declaratively using D3,WealthBar/angular-d3,2013-05-17 17:31:21 UTC,2017-03-19 06:31:51 UTC,2016-04-30 17:59:12 UTC,http://wealthbar.github.io/angular-d3/,CoffeeScript,,158
0,0,0,0,0,0,0,12189,37,473,60,159,0,0,1,0,1,0,0,0,0,0,0,0,0,17,Asynchronous Javascript templating for the browser and server,linkedin/dustjs,2012-03-23 22:20:39 UTC,2018-03-08 03:38:33 UTC,2017-10-22 14:39:47 UTC,http://dustjs.com,JavaScript,,2699
0,1,0,0,1,0,0,86,1,1,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,Active Record for Drupal,matthewbaggett/drupal_active_record,2013-02-27 15:26:34 UTC,2016-12-28 19:47:21 UTC,2016-02-06 01:29:17 UTC,,PHP,,0
0,1,0,0,0,0,0,136,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,zabbix api js wrapper.,v2e4lisp/zabbix-api,2013-08-28 06:06:55 UTC,2017-09-01 15:36:59 UTC,2013-08-28 15:48:35 UTC,,JavaScript,,4
0,1,0,0,0,0,0,124,1,1,1,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,2,Grunt task for CSS Mash,jonahbron/grunt-cssmash,2014-12-22 20:30:50 UTC,2017-12-28 14:18:09 UTC,2016-02-20 20:50:21 UTC,,JavaScript,,0
0,1,0,0,1,0,0,44,5,6,5,6,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,TYPO3 Flow package to support domain events,agitso/event,2013-02-25 10:02:23 UTC,2016-12-28 17:19:24 UTC,2016-06-28 15:55:44 UTC,,PHP,,10
0,1,0,0,0,1,0,655,2,3,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,Alternative version of Facebook Python SDK for Facebook Graph API,0xKirill/fblib,2012-11-13 05:21:36 UTC,2017-02-23 07:55:47 UTC,2012-11-18 17:23:14 UTC,,Python,,3
0,1,0,0,0,1,0,24,2,3,0,2,0,0,0,0,1,-1,0,0,0,0,0,0,0,4,分页导航生成器,meowtec/page-navigator,2014-12-24 11:19:00 UTC,2017-07-08 15:38:44 UTC,2016-09-19 06:30:19 UTC,,Python,,9
0,1,0,0,0,0,0,552,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,IDL Parser,FIWARE-Middleware/IDL-Parser,2014-11-14 11:30:55 UTC,2017-10-11 07:09:53 UTC,2015-04-15 08:10:35 UTC,,ANTLR,,1
0,1,0,0,0,0,0,160,1,0,3,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,2,Helper library for Gujarati Unicode script block,samyakbhuta/_gu,2014-06-16 15:05:14 UTC,2017-12-28 21:17:15 UTC,2014-06-17 09:33:22 UTC,,JavaScript,,0
0,0,0,0,0,0,0,615,15,22,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,7,Search records with latitude and longitude within a radius,diogob/activerecord-postgres-earthdistance,2011-02-24 20:59:02 UTC,2017-04-17 08:46:59 UTC,2017-04-01 02:03:31 UTC,,Ruby,,76
0,1,0,0,0,0,0,385,1,9,3,5,0,0,0,0,1,-1,0,0,0,0,0,0,0,2,Bindings to the Chromium Embedded Framework for Rust,dylanede/cef-rs,2015-01-26 11:49:09 UTC,2016-12-30 03:33:51 UTC,2015-12-23 09:33:33 UTC,,Rust,,32
0,1,0,0,1,0,0,3822,2,3,0,6,0,0,0,0,1,-1,0,0,0,0,0,0,0,4, [ Deprecated ] Log Reporting Dashboard for Symfony2,SofHad/LogboardBundle,2013-10-11 15:07:45 UTC,2016-12-28 20:16:38 UTC,2014-09-21 19:56:27 UTC,,PHP,,9
0,1,1,0,0,0,0,94,1,0,0,0,0,1,0,0,0,-1,1,0,0,0,1,0,0,0,Newrelic Platform SDK for Go(golang),cdmicacc/newrelic_platform_go,2014-06-06 18:34:52 UTC,2014-06-06 18:34:52 UTC,2013-08-11 05:34:38 UTC,,Go,,0
0,1,0,0,0,0,0,280,4,2,0,3,0,0,1,0,0,-1,0,0,0,0,0,0,0,4,Isomorphic cacheable and cancellable HTTP request than return Promise for Immutable.Map.,elierotenberg/immutable-request,2014-12-29 17:42:41 UTC,2015-11-25 14:07:08 UTC,2015-06-17 07:44:13 UTC,,JavaScript,,7
0,1,0,0,0,0,0,16,1,0,36,2,0,0,1,0,0,-1,0,0,0,0,0,0,0,3,"Use redis to cache details about your docker hosts, images and containers, inspired by github.com/samalba/docker-cache",ekristen/docker-cache,2014-08-28 04:23:21 UTC,2017-03-10 12:59:28 UTC,2017-03-10 12:55:02 UTC,,JavaScript,,8
0,1,0,0,0,0,0,150,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,"Middleware to serve buffers, strings or files",fgnass/exposed,2013-11-22 16:04:53 UTC,2018-02-25 05:39:12 UTC,2015-01-09 16:08:42 UTC,,JavaScript,,0
0,0,0,0,0,0,0,408,1,3,0,2,0,0,0,0,1,-1,0,0,0,0,0,0,0,5,"share your messages(text, images, videos) on social networking sites (facebook , twitter , linkedin)",pandurang90/socialshare,2013-04-23 11:55:51 UTC,2017-04-17 16:24:58 UTC,2013-10-02 10:12:49 UTC,http://pandurang90.github.io/socialshare/,Ruby,,12
0,1,0,0,1,0,0,130,1,0,0,4,0,0,0,0,1,-1,0,0,0,0,0,0,0,3,Parses ++ and -- messages from strings,asm89/plusminus-parser,2014-01-14 21:13:42 UTC,2016-12-28 18:02:51 UTC,2014-03-12 19:42:14 UTC,,PHP,,2
1,1,0,0,0,0,0,552,1,1,13,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,High Level API for accessing SonarQube resources.,badamowicz/sonar-hla,2014-08-12 10:30:04 UTC,2017-02-11 01:02:36 UTC,2014-12-17 12:19:45 UTC,,Java,,0
0,1,0,0,1,0,0,56,3,4,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,8,A Symfony Console component helper and command set for updating and upgrading applications.,box-project/amend,2012-07-24 17:02:36 UTC,2017-10-08 02:31:53 UTC,2017-01-02 21:05:46 UTC,,PHP,,37
0,1,0,0,0,0,0,104,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,3,This module provides a directive to create a select list of timezone that pulls in timezones from the cleverstack backend.,CleverStack/clever-timezone-frontend,2014-01-21 21:04:36 UTC,2015-11-20 14:57:32 UTC,2014-01-21 21:05:25 UTC,,JavaScript,,4
0,1,0,0,1,0,0,4040,2,0,0,1,0,0,0,1,0,-1,1,0,0,0,0,0,0,3,A fork of the bflib PHP client API for Betfair,GRODT/bflib,2012-09-07 19:49:47 UTC,2017-03-20 09:42:48 UTC,2013-05-10 21:01:27 UTC,http://www.backingline.com/betfair-api.php,PHP,,1
0,1,0,0,0,0,0,224,1,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,2,Provides helper functions on the String object,mattbalmer/mb-strings,2014-02-23 20:07:59 UTC,2014-06-09 05:34:40 UTC,2014-06-09 05:34:40 UTC,,JavaScript,,0
0,1,0,0,0,0,0,220,1,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,2,add rivets to backbone.marionette,eyolas/backbone.marionette.rivets,2014-11-13 09:25:38 UTC,2014-12-09 01:56:55 UTC,2014-11-14 15:44:37 UTC,,JavaScript,,1
0,1,0,0,0,0,0,140,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,ikajou/ika.nestable,2014-07-13 23:47:44 UTC,2014-07-13 23:48:43 UTC,2014-07-13 23:52:16 UTC,,JavaScript,,0
0,0,0,0,1,0,0,573,15,84,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,A PHP framework for accessing Instagram's API,sesser/Instaphp,2011-02-25 05:44:08 UTC,2018-02-06 10:05:34 UTC,2018-02-17 15:53:06 UTC,http://sesser.github.com/Instaphp/,PHP,,259
0,1,0,0,0,0,0,19,4,9,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,15,Combine an array of streams into a single duplex stream using pump and duplexify,mafintosh/pumpify,2014-07-11 16:23:47 UTC,2018-03-09 08:45:40 UTC,2018-01-17 10:26:15 UTC,,JavaScript,,129
0,1,0,0,0,0,0,136,1,1,0,11,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,middleware for dogstatsd,Runnable/dogstatsyware,2014-04-22 23:35:21 UTC,2017-03-20 12:45:57 UTC,2014-04-23 01:32:36 UTC,,JavaScript,,0
0,1,0,0,0,0,0,116,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,some time formatting functions,minond/a-nice-time,2014-12-21 05:25:49 UTC,2017-09-07 18:37:10 UTC,2014-12-21 05:45:07 UTC,,JavaScript,,2
0,1,0,0,1,0,0,116,0,0,0,2,0,0,0,0,1,-1,0,0,0,0,0,0,0,3,Asset Manager for Laravel 4,deviffy/Keeper,2013-08-29 14:59:13 UTC,2016-12-28 20:23:16 UTC,2013-08-29 15:58:59 UTC,,PHP,,1
0,1,0,0,0,0,0,568,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Bootstrap you project with teleport configuration.,itsNikolay/teleporter,2013-03-20 14:12:38 UTC,2017-07-31 03:44:01 UTC,2014-12-22 13:43:35 UTC,,Ruby,,1
1,1,0,0,0,0,0,745,2,6,0,3,0,0,0,0,0,-1,0,0,0,0,0,0,0,6,Serialization library for the Dwarf framework,pierre/serialization,2010-07-29 19:46:37 UTC,2017-01-22 22:16:02 UTC,2012-09-18 02:49:37 UTC,http://pierre.github.com,Java,,5
0,1,0,0,1,0,0,132,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,Symfony bundle that registers a JsHint assetic filter,CodeLoversAt/assetic-jshint-bundle,2014-03-08 16:41:15 UTC,2017-11-18 14:08:18 UTC,2014-03-09 11:47:03 UTC,,PHP,,2
0,1,0,0,0,0,0,32,3,2,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,2,Authorize.net data type bindings for Node.JS,durango/authorize-net-types,2013-08-05 21:39:23 UTC,2016-12-28 20:41:29 UTC,2016-06-22 12:49:08 UTC,,JavaScript,,3
0,1,0,0,0,0,0,250,8,16,1,3,0,0,0,1,1,0,0,1,0,0,0,0,0,8,Rails asset pipeline plugin and icon mappings for the awesome http://www.entypo.com/ icon font.,lwe/entypo-rails,2012-11-24 09:57:58 UTC,2017-10-25 07:10:14 UTC,2017-09-16 20:24:37 UTC,,HTML,,27
0,1,0,0,0,0,0,148,1,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,5,«No operation» for the pipeline,hoho/gulp-nop,2014-05-22 21:50:15 UTC,2016-12-28 21:20:36 UTC,2014-05-23 21:29:50 UTC,,JavaScript,,1
0,1,0,0,0,0,0,364,1,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,2,,liammagee/gofigure,2012-07-28 08:37:34 UTC,2017-06-04 08:00:57 UTC,2014-01-14 12:44:25 UTC,,JavaScript,,1
0,1,0,0,1,0,0,7,1,5,1,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,4,Convert numbers into words in Indonesian language,mul14/terbilang-php,2014-11-10 04:57:40 UTC,2016-12-28 19:52:39 UTC,2016-05-16 06:36:54 UTC,https://packagist.org/packages/nasution/terbilang,PHP,,26
0,1,0,0,0,0,0,13,2,1,4,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,4,,elliotttf/hipsteripsum,2012-11-03 22:19:47 UTC,2017-01-23 20:21:16 UTC,2016-04-05 19:47:34 UTC,,JavaScript,,2
0,1,0,0,0,0,0,132,1,0,0,1,0,0,0,0,1,-1,0,0,0,0,1,0,0,4,Math library with a flavor for computer graphics,james4k/cgm,2014-10-23 05:05:33 UTC,2018-02-13 10:03:54 UTC,2014-10-27 04:09:56 UTC,http://j4k.co/cgm,Go,,0
0,0,0,0,0,0,0,107580,9,68,66,60,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Humble Video: Demuxing, Decoding, Filtering, Encoding and Muxing of 100's of video and audio formats and Codecs from the JVM",artclarke/humble-video,2013-06-19 19:57:37 UTC,2018-01-03 17:14:20 UTC,2017-01-02 20:53:33 UTC,,C,,279
0,1,0,0,0,0,0,288,1,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,2,"A Yeoman generator for modules with requirejs, grunt, bower, connect,  mocha, sinon, chai, mocha-phantomjs",cagosta/generator-mangrove-module,2013-12-15 18:13:52 UTC,2017-11-21 07:09:05 UTC,2014-06-11 12:10:37 UTC,,JavaScript,,0
0,0,0,0,0,0,0,220,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,UNMAINTAINED. React proptype wrapper for joi validation.,pluma0/joi-react,2014-11-21 19:26:19 UTC,2017-10-18 02:24:45 UTC,2014-11-21 20:35:48 UTC,,JavaScript,,9
0,1,0,0,0,0,0,112,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,prints the actual html document,intesso/print-html,2013-07-02 05:26:04 UTC,2017-10-10 00:02:32 UTC,2013-07-02 07:12:33 UTC,,JavaScript,,2
0,1,0,0,0,0,0,100,1,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,2,turns a css file into a single executable by combining @imports and base64 inlining images,maxogden/packify-css,2014-10-18 15:11:21 UTC,2017-04-21 10:49:48 UTC,2014-10-18 15:12:07 UTC,,JavaScript,,12
0,1,0,0,0,0,0,88,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5,"Cocker, a socket module to handle connection retries.",rootslab/cocker,2013-01-12 18:46:24 UTC,2017-12-30 03:56:14 UTC,2017-12-09 04:39:07 UTC,,JavaScript,,6
0,1,0,0,1,0,0,296,1,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,3,Small Wordpress plugin to hightlight all sidebars when wordpress customize mode is enabled,hyyan/sidebar-highlight,2014-11-28 18:28:49 UTC,2017-04-20 19:46:20 UTC,2014-12-22 19:19:33 UTC,https://wordpress.org/plugins/sidebar-highlight/,PHP,,1
0,1,0,0,0,0,0,136,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,2,A Ruby reflection based wrapper library for the Twitter API,AlienHoboken/TwitteRuby,2014-02-22 13:46:15 UTC,2017-04-17 17:03:01 UTC,2014-02-22 15:09:35 UTC,,Ruby,,1
0,1,0,0,0,0,0,232,1,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,2,POOF.js Optimizer,maciejzasada/p.js,2013-12-23 01:18:38 UTC,2017-09-09 12:01:34 UTC,2013-12-26 00:59:37 UTC,,,,0
0,1,0,0,0,0,0,10,1,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,3,A ruhoh-compatible data mapper for desirae,DearDesi/datamap-ruhoh,2015-01-16 04:21:00 UTC,2017-04-12 22:43:54 UTC,2017-03-29 21:54:54 UTC,,JavaScript,,0
0,1,0,0,0,0,0,9,1,4,1,3,0,0,1,0,0,-1,0,0,0,0,0,0,0,2,Country Codes in node.js,sripaulgit/country-codes,2014-09-10 21:54:44 UTC,2017-01-30 22:03:04 UTC,2016-04-19 23:02:14 UTC,,JavaScript,,10
0,0,0,0,0,0,0,362,1,1,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,5,A rails generator for table-setter,propublica/table-setter-generator,2010-03-05 22:43:23 UTC,2016-02-18 14:35:02 UTC,2010-03-10 19:25:34 UTC,http://propublica.github.com/table-setter-generator,JavaScript,,4
0,1,0,0,0,0,0,172,2,1,0,2,0,0,1,0,0,-1,0,0,0,0,0,0,0,4,node.js module for generating Libravatar URLs,fmarier/node-libravatar,2011-10-16 10:38:53 UTC,2017-01-20 13:05:49 UTC,2014-06-22 08:40:31 UTC,,JavaScript,,11
